#,Child table,FK constraint name,Referenced table (wrongly by id),Referenced columns
1,organization.eqms_design_transfer_checklist_template_mapper_lk,fk_edtctml_design_transfer_checklist_lk_id,organization.eqms_design_transfer_checklist_lk,id
2,organization.eqms_design_transfer_checklist_template_mapper_lk,fk_edtctml_document_template_id,dms.eqms_document_template,id
3,organization.eqms_equipment_item,fk_eei_equipment_lk_id,organization.eqms_equipment_lk,id
4,organization.eqms_entity_template,fk_entity_template_module,organization.eqms_module,id
5,organization.eqms_part_location_details,fk_epld_part_lk_id,dnd.eqms_part_lk,id
6,pre_production.eqms_pre_prod_jig_validation_results,fk_eppjvres_verification_result_lk_id,organization.eqms_verification_result_lk,id
7,pre_production.eqms_pre_prod_product_trace_card_process_checklist,fk_eppptcpc_process_checklist_group_lk_id,organization.eqms_pre_prod_product_process_checklist_group_lk,id
8,pre_production.eqms_pre_prod_product_trace_card_process_checklist,fk_eppptcpc_process_checklist_lk_id,organization.eqms_pre_prod_product_process_checklist_lk,id
9,purchase.eqms_inventory_stock,fk_eis_part_lk_id,dnd.eqms_part_lk,id
10,purchase.eqms_purchase_requisition_part_detail,fk_eprpd_part_lk_id,dnd.eqms_part_lk,id
11,qc.eqms_equipment_calibration_details,fk_eecd_part_lk_id,dnd.eqms_part_lk,id
12,qc.eqms_hardware_test_procedure_spec,fk_ehtps_part_lk_id,dnd.eqms_part_lk,id
13,qc.eqms_software_test_procedure_spec,fk_estps_part_lk_id,dnd.eqms_part_lk,id
14,vendor.eqms_sample_order_inspection,fk_esoins_verification_result_lk_id,organization.eqms_verification_result_lk,id
